,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
54,54,Ghana,"16,742",+311,112,+9,"12,720",+463,"3,910",6,539,4,"288,465","9,287","31,062,453","1,855","277,343",108
55,55,Azerbaijan,"16,424",+534,198,+5,"9,026",+307,"7,200",66,"1,620",20,"461,861","45,556","10,138,266",617,"51,203",22
56,56,Guatemala,"16,397",+569,706,+34,"3,123",+95,"12,568",5,915,39,"31,427","1,755","17,910,628","1,092","25,369",570
57,57,Moldova,"16,250",+170,530,+9,"9,081",+118,"6,639",469,"4,028",131,"63,328","15,699","4,034,003",248,"7,611",64
58,58,Serbia,"14,046",+254,270,+3,"12,464",+126,"1,312",31,"1,608",31,"385,713","44,145","8,737,493",622,"32,361",23
59,59,Algeria,"13,273",+305,897,+5,"9,371",+169,"3,005",48,303,20,,,"43,839,426","3,303","48,873",
60,60,Nepal,"12,772",+463,28,,"3,013",+179,"9,731",,438,1.0,"512,605","17,598","29,129,139","2,281","1,040,326",57
61,61,S. Korea,"12,715",+62,282,,"11,364",+47,"1,069",15,248,6,"1,251,695","24,414","51,268,926","4,032","181,805",41
62,62,Denmark,"12,675",,604,,"11,508",,563,11,"2,188",104,"998,736","172,432","5,792,055",457,"9,589",6
63,63,Cameroon,"12,592",,313,,"10,100",,"2,179",52,475,12,,,"26,533,750","2,107","84,772",
64,64,Morocco,"12,052",+175,221,+1,"8,730",+7,"3,101",7,327,6,"646,195","17,509","36,905,559","3,062","166,993",57
65,65,Czechia,"11,423",+125,347,,"7,702",+20,"3,374",10,"1,067",32,"543,925","50,792","10,708,855",937,"30,861",20
66,66,Sudan,"9,257",,572,,"4,014",,"4,671",,211,13,401,9,"43,831,348","4,735","76,628","109,305"
67,67,Ivory Coast,"8,944",,66,,"3,722",,"5,156",,339,3,"52,261","1,982","26,366,346","2,948","399,490",505
68,68,Norway,"8,853",+7,249,,"8,138",,466,4,"1,633",46,"313,162","57,770","5,420,844",612,"21,770",17
69,69,Malaysia,"8,634",+18,121,,"8,318",+10,195,2,267,4,"749,950","23,174","32,361,053","3,748","267,447",43
70,70,Uzbekistan,"7,813",+131,21,+1,"5,248",+8,"2,544",25,233,0.6,"1,121,236","33,507","33,462,994","4,283","1,593,476",30
71,71,Australia,"7,686",+45,104,,"6,979",,603,1,301,4,"2,354,175","92,333","25,496,540","3,317","245,159",11
